UserID,Age,Gender,SweetLike,MentholLike,PodsPerWeek,SubscribeIntent,FlavourFamilies,PurchaseChannel
1,46,Female,3,1,7,1,"Menthol,Fruity",Online
2,32,Male,2,3,6,1,Beverage,Online
3,25,Male,5,2,8,0,Beverage,Retail
4,38,Female,5,1,11,0,"Fruity,Menthol",Lounge
5,36,Male,5,1,13,1,"Beverage,Menthol",Retail
6,40,Male,4,5,6,1,"Menthol,Fruity",Online
7,28,Other,5,5,10,1,Menthol,Online
8,28,Male,3,5,3,0,"Spice,Menthol,Fruity",Lounge
9,41,Male,4,1,4,1,Fruity,Lounge
10,53,Male,1,2,14,1,Dessert,Lounge
11,41,Female,5,4,3,1,"Tobacco,Dessert",Retail
12,20,Male,5,5,1,1,"Tobacco,Dessert",Online
13,39,Male,1,2,10,1,"Spice,Fruity,Dessert",Retail
14,19,Male,5,3,5,1,"Fruity,Spice",Online
15,41,Male,1,5,1,1,"Spice,Tobacco,Fruity",Online
16,47,Male,4,4,1,1,"Dessert,Fruity,Spice",Retail
17,19,Male,3,3,2,1,"Menthol,Fruity",Online
18,38,Female,1,3,13,1,"Dessert,Menthol",Online
19,50,Male,2,4,4,1,"Spice,Tobacco",Online
20,29,Male,1,5,6,1,"Menthol,Beverage,Tobacco",Online
21,39,Male,5,1,8,1,"Beverage,Menthol",Retail
22,42,Male,4,4,13,0,Dessert,Online
23,44,Male,4,4,3,0,"Tobacco,Menthol",Online
24,45,Female,1,4,1,1,Menthol,Online
25,33,Male,3,3,3,1,"Menthol,Spice",Online
26,32,Male,2,2,12,1,Spice,Online
27,20,Male,4,1,3,1,"Menthol,Dessert",Retail
28,54,Female,5,5,5,1,"Menthol,Fruity,Tobacco",Online
29,24,Female,5,5,11,1,Tobacco,Retail
30,38,Female,3,2,12,1,Fruity,Lounge
31,26,Male,4,4,12,1,Tobacco,Retail
32,35,Female,1,1,4,0,"Menthol,Spice",Online
33,21,Male,5,5,13,0,Beverage,Online
34,42,Male,3,5,4,0,Tobacco,Retail
35,31,Male,4,4,9,0,Tobacco,Online
36,26,Male,4,2,7,1,"Fruity,Spice",Retail
37,43,Female,4,1,4,0,Beverage,Retail
38,19,Female,4,2,3,0,"Spice,Dessert",Lounge
39,37,Male,4,2,6,0,Fruity,Lounge
40,45,Female,5,1,3,0,"Menthol,Fruity",Retail
41,24,Other,3,1,6,1,Spice,Online
42,25,Female,4,5,11,1,"Beverage,Tobacco",Lounge
43,52,Female,2,5,13,1,Beverage,Online
44,31,Female,2,1,11,0,"Beverage,Menthol",Online
45,34,Other,3,3,13,0,"Fruity,Spice,Menthol",Retail
46,53,Female,1,5,13,0,"Tobacco,Beverage,Spice",Retail
47,21,Male,1,3,12,1,"Dessert,Tobacco",Retail
48,19,Male,1,1,9,0,"Beverage,Tobacco",Retail
49,23,Female,2,5,6,1,"Dessert,Menthol,Beverage",Online
50,21,Male,1,2,12,0,"Menthol,Fruity",Lounge
51,46,Female,5,1,4,1,Tobacco,Retail
52,35,Male,4,4,5,0,"Fruity,Spice,Dessert",Retail
53,43,Male,2,3,13,0,"Tobacco,Dessert",Online
54,51,Male,3,1,6,1,Fruity,Online
55,27,Male,3,1,11,0,Menthol,Retail
56,53,Female,4,5,3,0,Fruity,Online
57,31,Female,2,5,8,1,"Tobacco,Dessert",Online
58,48,Female,1,5,4,1,Spice,Retail
59,32,Female,1,4,8,1,Beverage,Online
60,25,Male,5,5,10,0,Beverage,Online
61,31,Male,5,1,10,0,"Menthol,Fruity",Online
62,40,Female,1,5,3,0,"Dessert,Fruity",Online
63,38,Male,3,2,10,0,Menthol,Retail
64,33,Male,3,5,7,1,Menthol,Online
65,35,Male,5,4,11,1,Dessert,Online
66,41,Male,4,2,13,0,"Menthol,Dessert,Beverage",Retail
67,43,Other,1,1,12,1,"Spice,Dessert",Lounge
68,42,Female,5,1,9,0,"Tobacco,Dessert",Retail
69,46,Male,5,3,4,1,Fruity,Online
70,32,Female,1,2,8,0,"Fruity,Menthol",Online
71,18,Female,1,3,3,0,"Menthol,Beverage",Retail
72,42,Male,3,2,7,1,Dessert,Online
73,24,Female,4,2,3,1,Dessert,Retail
74,26,Female,4,4,12,1,Spice,Online
75,41,Male,1,3,7,0,"Spice,Dessert,Tobacco",Online
76,18,Male,2,4,14,0,"Tobacco,Spice,Fruity",Retail
77,25,Male,5,2,11,1,"Spice,Beverage",Retail
78,41,Male,5,1,10,0,"Fruity,Tobacco",Retail
79,28,Male,1,2,10,1,Tobacco,Online
80,34,Female,2,4,11,0,"Dessert,Tobacco",Online
81,25,Male,3,3,11,1,"Fruity,Beverage",Retail
82,52,Male,1,3,6,1,Spice,Retail
83,52,Female,1,4,2,0,"Menthol,Beverage,Dessert",Online
84,50,Female,5,3,11,1,Tobacco,Online
85,22,Male,1,5,3,1,Menthol,Online
86,45,Male,1,1,6,0,"Spice,Tobacco",Lounge
87,24,Male,1,1,14,1,"Tobacco,Spice",Retail
88,26,Female,5,1,4,1,"Menthol,Tobacco",Lounge
89,25,Male,3,3,6,0,Tobacco,Online
90,29,Male,3,3,1,0,"Menthol,Fruity,Spice",Lounge
91,51,Other,1,2,10,0,"Beverage,Dessert",Online
92,50,Male,5,2,12,1,"Fruity,Menthol",Online
93,40,Female,3,1,1,1,"Tobacco,Spice,Menthol",Retail
94,41,Other,3,5,3,1,"Menthol,Dessert",Online
95,54,Male,3,2,8,1,Dessert,Online
96,52,Female,5,2,8,1,"Spice,Dessert",Online
97,39,Male,5,3,11,1,Spice,Online
98,44,Female,1,5,4,0,Spice,Retail
99,52,Female,4,1,6,1,"Spice,Tobacco",Retail
100,18,Female,3,2,8,0,"Spice,Tobacco,Dessert",Retail
101,52,Male,4,5,7,1,Tobacco,Retail
102,54,Female,5,5,11,0,"Fruity,Dessert",Retail
103,31,Female,5,1,7,0,Tobacco,Online
104,20,Male,5,5,13,0,"Beverage,Dessert",Online
105,18,Female,4,5,4,0,"Dessert,Spice",Lounge
106,22,Male,5,5,9,1,"Tobacco,Menthol",Online
107,43,Male,1,2,12,0,Fruity,Retail
108,31,Male,5,1,10,1,"Tobacco,Dessert",Online
109,44,Male,2,5,6,1,"Spice,Tobacco,Beverage",Retail
110,26,Male,4,5,14,1,"Fruity,Tobacco",Retail
111,32,Female,2,2,12,0,"Tobacco,Dessert",Online
112,32,Male,5,1,11,0,"Dessert,Spice,Tobacco",Online
113,43,Female,1,3,3,1,Dessert,Retail
114,30,Male,3,2,5,1,"Menthol,Tobacco",Online
115,49,Female,5,1,5,0,"Dessert,Beverage,Tobacco",Online
116,49,Other,1,5,14,0,Fruity,Retail
117,21,Male,4,1,5,0,"Tobacco,Spice",Online
118,47,Female,2,1,8,1,Spice,Retail
119,54,Male,2,1,9,0,"Spice,Menthol",Online
120,40,Female,2,3,13,1,"Dessert,Fruity",Online
